year,state,type,length,tuition,room_board,total_cost
2013,Nebraska,Public In-State,4-year,7023.0,8268.0,15291
2013,Nebraska,Public Out-of-State,2-year,3415.0,0.0,3415
2013,Nebraska,Public Out-of-State,4-year,16702.0,8268.0,24970
2013,Nevada,Private,4-year,16108.0,21602.0,37710
2013,Nevada,Public In-State,2-year,2700.0,0.0,2700
2013,Nevada,Public In-State,4-year,4953.0,10991.0,15944
2013,Nevada,Public Out-of-State,2-year,9345.0,0.0,9345
2013,Nevada,Public Out-of-State,4-year,19156.0,10991.0,30147
2013,New Hampshire,Private,4-year,30202.0,12107.0,42309
2013,New Hampshire,Public In-State,2-year,7218.0,0.0,7218
2013,New Hampshire,Public In-State,4-year,14435.0,10270.0,24705
2013,New Hampshire,Public Out-of-State,2-year,15697.0,0.0,15697
2013,New Hampshire,Public Out-of-State,4-year,24945.0,10270.0,35215
2013,New Jersey,Private,4-year,31195.0,11636.0,42831
2013,New Jersey,Public In-State,2-year,3782.0,0.0,3782
2013,New Jersey,Public In-State,4-year,11955.0,11819.0,23774
2013,New Jersey,Public Out-of-State,2-year,6591.0,0.0,6591
2013,New Jersey,Public Out-of-State,4-year,24447.0,11819.0,36266
2013,New Mexico,Private,4-year,16256.0,8889.0,25145
2013,New Mexico,Public In-State,2-year,1399.0,0.0,1399
2013,New Mexico,Public In-State,4-year,5483.0,7742.0,13225
2013,New Mexico,Public Out-of-State,2-year,4558.0,0.0,4558
2013,New Mexico,Public Out-of-State,4-year,14327.0,7742.0,22069
2013,New York,Private,4-year,32438.0,12901.0,45339
2013,New York,Public In-State,2-year,4331.0,0.0,4331
2013,New York,Public In-State,4-year,6556.0,11841.0,18397
2013,New York,Public Out-of-State,2-year,7827.0,0.0,7827
2013,New York,Public Out-of-State,4-year,15751.0,11841.0,27592
2013,North Carolina,Private,4-year,26336.0,9858.0,36194
2013,North Carolina,Public In-State,2-year,2212.0,0.0,2212
2013,North Carolina,Public In-State,4-year,6223.0,8291.0,14514
2013,North Carolina,Public Out-of-State,2-year,8171.0,0.0,8171
2013,North Carolina,Public Out-of-State,4-year,19733.0,8291.0,28024
2013,North Dakota,Private,4-year,12318.0,5424.0,17742
2013,North Dakota,Public In-State,2-year,4048.0,0.0,4048
2013,North Dakota,Public In-State,4-year,6572.0,6639.0,13211
2013,North Dakota,Public Out-of-State,2-year,8216.0,0.0,8216
2013,North Dakota,Public Out-of-State,4-year,16170.0,6639.0,22809
2013,Ohio,Private,4-year,25756.0,9612.0,35368
2013,Ohio,Public In-State,2-year,3480.0,0.0,3480
2013,Ohio,Public In-State,4-year,9301.0,10152.0,19453
2013,Ohio,Public Out-of-State,2-year,7421.0,0.0,7421
2013,Ohio,Public Out-of-State,4-year,21683.0,10152.0,31835
2013,Oklahoma,Private,4-year,20572.0,8658.0,29230
2013,Oklahoma,Public In-State,2-year,2904.0,0.0,2904
2013,Oklahoma,Public In-State,4-year,5882.0,7123.0,13005
2013,Oklahoma,Public Out-of-State,2-year,7101.0,0.0,7101
2013,Oklahoma,Public Out-of-State,4-year,16543.0,7123.0,23666
2013,Oregon,Private,4-year,30195.0,10460.0,40655
2013,Oregon,Public In-State,2-year,3752.0,0.0,3752
2013,Oregon,Public In-State,4-year,8294.0,10232.0,18526
2013,Oregon,Public Out-of-State,2-year,7689.0,0.0,7689
2013,Oregon,Public Out-of-State,4-year,25067.0,10232.0,35299
2013,Pennsylvania,Private,4-year,32949.0,11459.0,44408
2013,Pennsylvania,Public In-State,2-year,4133.0,0.0,4133
2013,Pennsylvania,Public In-State,4-year,12184.0,9453.0,21637
2013,Pennsylvania,Public Out-of-State,2-year,11009.0,0.0,11009
2013,Pennsylvania,Public Out-of-State,4-year,22891.0,9453.0,32344
2013,Rhode Island,Private,4-year,33940.0,12174.0,46114
2013,Rhode Island,Public In-State,2-year,3950.0,0.0,3950
2013,Rhode Island,Public In-State,4-year,10817.0,10765.0,21582
2013,Rhode Island,Public Out-of-State,2-year,10582.0,0.0,10582
2013,Rhode Island,Public Out-of-State,4-year,26762.0,10765.0,37527
2013,South Carolina,Private,4-year,20990.0,8175.0,29165
2013,South Carolina,Public In-State,2-year,3820.0,0.0,3820
2013,South Carolina,Public In-State,4-year,10691.0,7964.0,18655
2013,South Carolina,Public Out-of-State,2-year,7910.0,0.0,7910
2013,South Carolina,Public Out-of-State,4-year,26042.0,7964.0,34006
2013,South Dakota,Private,4-year,18843.0,6953.0,25796
2013,South Dakota,Public In-State,2-year,5066.0,0.0,5066
2013,South Dakota,Public In-State,4-year,7413.0,6445.0,13858
2013,South Dakota,Public Out-of-State,2-year,5261.0,0.0,5261
2013,South Dakota,Public Out-of-State,4-year,9654.0,6445.0,16099
2013,Tennessee,Private,4-year,22046.0,9090.0,31136
2013,Tennessee,Public In-State,2-year,3526.0,0.0,3526
2013,Tennessee,Public In-State,4-year,7472.0,7944.0,15416
2013,Tennessee,Public Out-of-State,2-year,13682.0,0.0,13682
2013,Tennessee,Public Out-of-State,4-year,22412.0,7944.0,30356
2013,Texas,Private,4-year,25174.0,9686.0,34860
2013,Texas,Public In-State,2-year,1815.0,0.0,1815
2013,Texas,Public In-State,4-year,7402.0,8538.0,15940
2013,Texas,Public Out-of-State,2-year,5075.0,0.0,5075
2013,Texas,Public Out-of-State,4-year,20044.0,8538.0,28582
2013,Utah,Private,4-year,7758.0,7572.0,15330
2013,Utah,Public In-State,2-year,3170.0,0.0,3170
2013,Utah,Public In-State,4-year,5375.0,6701.0,12076
2013,Utah,Public Out-of-State,2-year,10012.0,0.0,10012
2013,Utah,Public Out-of-State,4-year,16631.0,6701.0,23332
2013,Vermont,Private,4-year,35130.0,11125.0,46255
2013,Vermont,Public In-State,2-year,5452.0,0.0,5452
2013,Vermont,Public In-State,4-year,13524.0,9766.0,23290
2013,Vermont,Public Out-of-State,2-year,10804.0,0.0,10804
2013,Vermont,Public Out-of-State,4-year,32650.0,9766.0,42416
2013,Virginia,Private,4-year,21524.0,8959.0,30483
2013,Virginia,Public In-State,2-year,3910.0,0.0,3910
2013,Virginia,Public In-State,4-year,9866.0,8977.0,18843
2013,Virginia,Public Out-of-State,2-year,8592.0,0.0,8592
2013,Virginia,Public Out-of-State,4-year,27079.0,8977.0,36056
2013,Washington,Private,4-year,30133.0,10161.0,40294
2013,Washington,Public In-State,2-year,3957.0,0.0,3957
2013,Washington,Public In-State,4-year,8856.0,10069.0,18925
2013,Washington,Public Out-of-State,2-year,6983.0,0.0,6983
2013,Washington,Public Out-of-State,4-year,26314.0,10069.0,36383
2013,West Virginia,Private,4-year,10721.0,8399.0,19120
2013,West Virginia,Public In-State,2-year,3135.0,0.0,3135
2013,West Virginia,Public In-State,4-year,5599.0,8527.0,14126
2013,West Virginia,Public Out-of-State,2-year,7798.0,0.0,7798
2013,West Virginia,Public Out-of-State,4-year,16582.0,8527.0,25109
2013,Wisconsin,Private,4-year,25500.0,8699.0,34199
2013,Wisconsin,Public In-State,2-year,4073.0,0.0,4073
2013,Wisconsin,Public In-State,4-year,8339.0,7106.0,15445
2013,Wisconsin,Public Out-of-State,2-year,6824.0,0.0,6824
2013,Wisconsin,Public Out-of-State,4-year,20146.0,7106.0,27252
2013,Wyoming,Private,4-year,13562.0,0.0,13562
2013,Wyoming,Public In-State,2-year,2420.0,0.0,2420
2013,Wyoming,Public In-State,4-year,3642.0,8837.0,12479
2013,Wyoming,Public Out-of-State,2-year,5998.0,0.0,5998
2013,Wyoming,Public Out-of-State,4-year,10962.0,8837.0,19799
2014,Alabama,Private,4-year,14201.0,8773.0,22974
2014,Alabama,Public In-State,2-year,4108.0,0.0,4108
2014,Alabama,Public In-State,4-year,8503.0,8744.0,17247
2014,Alabama,Public Out-of-State,2-year,7855.0,0.0,7855
2014,Alabama,Public Out-of-State,4-year,21389.0,8744.0,30133
2014,Alaska,Private,4-year,20943.0,9319.0,30262
2014,Alaska,Public In-State,2-year,4652.0,0.0,4652
2014,Alaska,Public In-State,4-year,6141.0,9556.0,15697
2014,Alaska,Public Out-of-State,2-year,4569.0,0.0,4569
2014,Alaska,Public Out-of-State,4-year,18458.0,9556.0,28014
2014,Arizona,Private,4-year,11462.0,8734.0,20196
2014,Arizona,Public In-State,2-year,1949.0,0.0,1949
2014,Arizona,Public In-State,4-year,9906.0,9877.0,19783
2014,Arizona,Public Out-of-State,2-year,7994.0,0.0,7994
2014,Arizona,Public Out-of-State,4-year,22878.0,9877.0,32755
2014,Arkansas,Private,4-year,19104.0,7371.0,26475
2014,Arkansas,Public In-State,2-year,2812.0,0.0,2812
2014,Arkansas,Public In-State,4-year,6894.0,7760.0,14654
2014,Arkansas,Public Out-of-State,2-year,4905.0,0.0,4905
2014,Arkansas,Public Out-of-State,4-year,16266.0,7760.0,24026
2014,California,Private,4-year,29678.0,12213.0,41891
2014,California,Public In-State,2-year,1233.0,0.0,1233
2014,California,Public In-State,4-year,8903.0,12380.0,21283
2014,California,Public Out-of-State,2-year,6593.0,0.0,6593
2014,California,Public Out-of-State,4-year,30663.0,12380.0,43043
2014,Colorado,Private,4-year,20359.0,11114.0,31473
2014,Colorado,Public In-State,2-year,3160.0,0.0,3160
2014,Colorado,Public In-State,4-year,8228.0,10751.0,18979
2014,Colorado,Public Out-of-State,2-year,9261.0,0.0,9261
2014,Colorado,Public Out-of-State,4-year,26233.0,10751.0,36984
2014,Connecticut,Private,4-year,35407.0,13311.0,48718
2014,Connecticut,Public In-State,2-year,3824.0,0.0,3824
2014,Connecticut,Public In-State,4-year,10128.0,11514.0,21642
2014,Connecticut,Public Out-of-State,2-year,11287.0,0.0,11287
2014,Connecticut,Public Out-of-State,4-year,28337.0,11514.0,39851
2014,Delaware,Private,4-year,13444.0,10777.0,24221
2014,Delaware,Public In-State,2-year,3380.0,0.0,3380
2014,Delaware,Public In-State,4-year,11278.0,11408.0,22686
2014,Delaware,Public Out-of-State,2-year,7910.0,0.0,7910
2014,Delaware,Public Out-of-State,4-year,27162.0,11408.0,38570
2014,District of Columbia,Private,4-year,36723.0,13171.0,49894
2014,District of Columbia,Public In-State,4-year,7255.0,0.0,7255
2014,District of Columbia,Public Out-of-State,4-year,14535.0,0.0,14535
2014,Florida,Private,4-year,20971.0,10317.0,31288
2014,Florida,Public In-State,2-year,2513.0,0.0,2513
2014,Florida,Public In-State,4-year,4423.0,9949.0,14372
2014,Florida,Public Out-of-State,2-year,9362.0,0.0,9362
2014,Florida,Public Out-of-State,4-year,17077.0,9949.0,27026
2014,Georgia,Private,4-year,23521.0,11138.0,34659
2014,Georgia,Public In-State,2-year,2926.0,0.0,2926
2014,Georgia,Public In-State,4-year,6614.0,9448.0,16062
2014,Georgia,Public Out-of-State,2-year,7816.0,0.0,7816
2014,Georgia,Public Out-of-State,4-year,23730.0,9448.0,33178
2014,Hawaii,Private,4-year,15073.0,12193.0,27266
2014,Hawaii,Public In-State,2-year,2608.0,0.0,2608
2014,Hawaii,Public In-State,4-year,8216.0,9812.0,18028
2014,Hawaii,Public Out-of-State,2-year,7360.0,0.0,7360
2014,Hawaii,Public Out-of-State,4-year,25021.0,9812.0,34833
2014,Idaho,Private,4-year,6736.0,7427.0,14163
2014,Idaho,Public In-State,2-year,2963.0,0.0,2963
2014,Idaho,Public In-State,4-year,6315.0,7503.0,13818
2014,Idaho,Public Out-of-State,2-year,7355.0,0.0,7355
2014,Idaho,Public Out-of-State,4-year,18875.0,7503.0,26378
2014,Illinois,Private,4-year,27504.0,11125.0,38629
2014,Illinois,Public In-State,2-year,3306.0,0.0,3306
2014,Illinois,Public In-State,4-year,12520.0,10576.0,23096
2014,Illinois,Public Out-of-State,2-year,9417.0,0.0,9417
2014,Illinois,Public Out-of-State,4-year,27623.0,10576.0,38199
2014,Indiana,Private,4-year,28035.0,9929.0,37964
2014,Indiana,Public In-State,2-year,3605.0,0.0,3605
2014,Indiana,Public In-State,4-year,8443.0,9809.0,18252
2014,Indiana,Public Out-of-State,2-year,7632.0,0.0,7632
2014,Indiana,Public Out-of-State,4-year,27001.0,9809.0,36810
2014,Iowa,Private,4-year,17492.0,7026.0,24518
2014,Iowa,Public In-State,2-year,4253.0,0.0,4253
2014,Iowa,Public In-State,4-year,7839.0,8695.0,16534
2014,Iowa,Public Out-of-State,2-year,5356.0,0.0,5356
2014,Iowa,Public Out-of-State,4-year,23568.0,8695.0,32263
2014,Kansas,Private,4-year,20122.0,7841.0,27963
2014,Kansas,Public In-State,2-year,2890.0,0.0,2890
2014,Kansas,Public In-State,4-year,7387.0,7247.0,14634
2014,Kansas,Public Out-of-State,2-year,4116.0,0.0,4116
2014,Kansas,Public Out-of-State,4-year,18642.0,7247.0,25889
2014,Kentucky,Private,4-year,21271.0,8256.0,29527
2014,Kentucky,Public In-State,2-year,3487.0,0.0,3487
2014,Kentucky,Public In-State,4-year,8715.0,8566.0,17281
2014,Kentucky,Public Out-of-State,2-year,12125.0,0.0,12125
2014,Kentucky,Public Out-of-State,4-year,19979.0,8566.0,28545
2014,Louisiana,Private,4-year,30257.0,10787.0,41044
2014,Louisiana,Public In-State,2-year,3178.0,0.0,3178
2014,Louisiana,Public In-State,4-year,6585.0,8656.0,15241
2014,Louisiana,Public Out-of-State,2-year,6463.0,0.0,6463
2014,Louisiana,Public Out-of-State,4-year,19985.0,8656.0,28641
2014,Maine,Private,4-year,32534.0,11523.0,44057
2014,Maine,Public In-State,2-year,3545.0,0.0,3545
2014,Maine,Public In-State,4-year,9368.0,9755.0,19123
2014,Maine,Public Out-of-State,2-year,6254.0,0.0,6254
2014,Maine,Public Out-of-State,4-year,24791.0,9755.0,34546
2014,Maryland,Private,4-year,34316.0,12707.0,47023
2014,Maryland,Public In-State,2-year,3550.0,0.0,3550
2014,Maryland,Public In-State,4-year,8320.0,10561.0,18881
2014,Maryland,Public Out-of-State,2-year,8453.0,0.0,8453
2014,Maryland,Public Out-of-State,4-year,20772.0,10561.0,31333
2014,Massachusetts,Private,4-year,38009.0,13475.0,51484
2014,Massachusetts,Public In-State,2-year,4216.0,0.0,4216
2014,Massachusetts,Public In-State,4-year,10702.0,11115.0,21817
2014,Massachusetts,Public Out-of-State,2-year,9561.0,0.0,9561
2014,Massachusetts,Public Out-of-State,4-year,25461.0,11115.0,36576
2014,Michigan,Private,4-year,19372.0,8463.0,27835
2014,Michigan,Public In-State,2-year,2922.0,0.0,2922
2014,Michigan,Public In-State,4-year,11295.0,9121.0,20416
2014,Michigan,Public Out-of-State,2-year,6116.0,0.0,6116
2014,Michigan,Public Out-of-State,4-year,32042.0,9121.0,41163
2014,Minnesota,Private,4-year,27104.0,9143.0,36247
2014,Minnesota,Public In-State,2-year,5387.0,0.0,5387
2014,Minnesota,Public In-State,4-year,10355.0,8034.0,18389
2014,Minnesota,Public Out-of-State,2-year,6203.0,0.0,6203
2014,Minnesota,Public Out-of-State,4-year,16915.0,8034.0,24949
2014,Mississippi,Private,4-year,15042.0,6657.0,21699
2014,Mississippi,Public In-State,2-year,2409.0,0.0,2409
2014,Mississippi,Public In-State,4-year,6612.0,7802.0,14414
2014,Mississippi,Public Out-of-State,2-year,4467.0,0.0,4467
2014,Mississippi,Public Out-of-State,4-year,15980.0,7802.0,23782
2014,Missouri,Private,4-year,19523.0,8892.0,28415
2014,Missouri,Public In-State,2-year,2850.0,0.0,2850
2014,Missouri,Public In-State,4-year,7998.0,8789.0,16787
2014,Missouri,Public Out-of-State,2-year,5470.0,0.0,5470
2014,Missouri,Public Out-of-State,4-year,19319.0,8789.0,28108
2014,Montana,Private,4-year,20868.0,7865.0,28733
2014,Montana,Public In-State,2-year,3202.0,0.0,3202
2014,Montana,Public In-State,4-year,6323.0,7759.0,14082
2014,Montana,Public Out-of-State,2-year,8417.0,0.0,8417
2014,Montana,Public Out-of-State,4-year,20797.0,7759.0,28556
2014,Nebraska,Private,4-year,19832.0,8052.0,27884
2014,Nebraska,Public In-State,2-year,2670.0,0.0,2670
2014,Nebraska,Public In-State,4-year,7081.0,8556.0,15637
2014,Nebraska,Public Out-of-State,2-year,3612.0,0.0,3612
2014,Nebraska,Public Out-of-State,4-year,16734.0,8556.0,25290
2014,Nevada,Private,4-year,16169.0,14576.0,30745
2014,Nevada,Public In-State,2-year,2700.0,0.0,2700
2014,Nevada,Public In-State,4-year,5029.0,11007.0,16036
2014,Nevada,Public Out-of-State,2-year,9345.0,0.0,9345
2014,Nevada,Public Out-of-State,4-year,19616.0,11007.0,30623
2014,New Hampshire,Private,4-year,31029.0,12461.0,43490
2014,New Hampshire,Public In-State,2-year,7230.0,0.0,7230
2014,New Hampshire,Public In-State,4-year,14469.0,10778.0,25247
2014,New Hampshire,Public Out-of-State,2-year,15717.0,0.0,15717
2014,New Hampshire,Public Out-of-State,4-year,25357.0,10778.0,36135
2014,New Jersey,Private,4-year,32010.0,12228.0,44238
2014,New Jersey,Public In-State,2-year,3929.0,0.0,3929
2014,New Jersey,Public In-State,4-year,12266.0,11980.0,24246
2014,New Jersey,Public Out-of-State,2-year,6868.0,0.0,6868
2014,New Jersey,Public Out-of-State,4-year,25637.0,11980.0,37617
2014,New Mexico,Private,4-year,17657.0,9811.0,27468
2014,New Mexico,Public In-State,2-year,1443.0,0.0,1443
2014,New Mexico,Public In-State,4-year,5973.0,8132.0,14105
2014,New Mexico,Public Out-of-State,2-year,4642.0,0.0,4642
2014,New Mexico,Public Out-of-State,4-year,14647.0,8132.0,22779
2014,New York,Private,4-year,33825.0,13230.0,47055
2014,New York,Public In-State,2-year,4507.0,0.0,4507
2014,New York,Public In-State,4-year,6892.0,12865.0,19757
2014,New York,Public Out-of-State,2-year,8148.0,0.0,8148
2014,New York,Public Out-of-State,4-year,17082.0,12865.0,29947
2014,North Carolina,Private,4-year,27284.0,10258.0,37542
2014,North Carolina,Public In-State,2-year,2304.0,0.0,2304
2014,North Carolina,Public In-State,4-year,6578.0,8619.0,15197
2014,North Carolina,Public Out-of-State,2-year,8255.0,0.0,8255
2014,North Carolina,Public Out-of-State,4-year,20410.0,8619.0,29029
2014,North Dakota,Private,4-year,12408.0,5715.0,18123
2014,North Dakota,Public In-State,2-year,3978.0,0.0,3978
2014,North Dakota,Public In-State,4-year,6824.0,6890.0,13714
2014,North Dakota,Public Out-of-State,2-year,8157.0,0.0,8157
2014,North Dakota,Public Out-of-State,4-year,16753.0,6890.0,23643
2014,Ohio,Private,4-year,26917.0,9939.0,36856
2014,Ohio,Public In-State,2-year,3544.0,0.0,3544
2014,Ohio,Public In-State,4-year,9443.0,10557.0,20000
2014,Ohio,Public Out-of-State,2-year,7313.0,0.0,7313
2014,Ohio,Public Out-of-State,4-year,21939.0,10557.0,32496
2014,Oklahoma,Private,4-year,21411.0,8579.0,29990
2014,Oklahoma,Public In-State,2-year,3062.0,0.0,3062
2014,Oklahoma,Public In-State,4-year,6043.0,7452.0,13495
2014,Oklahoma,Public Out-of-State,2-year,7461.0,0.0,7461
2014,Oklahoma,Public Out-of-State,4-year,17009.0,7452.0,24461
2014,Oregon,Private,4-year,31599.0,10786.0,42385
2014,Oregon,Public In-State,2-year,3935.0,0.0,3935
2014,Oregon,Public In-State,4-year,8616.0,10537.0,19153
2014,Oregon,Public Out-of-State,2-year,8038.0,0.0,8038
2014,Oregon,Public Out-of-State,4-year,26144.0,10537.0,36681
2014,Pennsylvania,Private,4-year,34313.0,11926.0,46239
